GeneID,SNP_Count,Exon_Length,SNP_Density,Expression
FBgn0058469,12,213,0.22232,6310
FBgn0025837,9,5947,1.5133680847486126,0
FBgn0025836,95,28269,3.3605716509250416,50
FBgn0025835,20,7557,2.646552864893476,23
FBgn0040373,16,5104,3.134796238244514,2312
FBgn0040372,24,13754,1.7449469245310456,18
FBgn0259722,1,1233,0.811030008,41
FBgn0000316,8,4150,1.9277108433734937,30
FBgn0029518,16,3214,4.978220286247667,1
FBgn0005427,263,47859,5.495309137,57
FBgn0024989,62,17657,3.511355269864643,1
FBgn0040370,22,7971,2.760005018190942,56
FBgn0040371,6,1053,5.698005698005699,1
FBgn0029521,6,1185,5.063291139240506,0
FBgn0052816,64,10486,6.103375929811176,0
FBgn0004034,6,2036,2.9469548133595285,1
FBgn0000022,3,916,3.2751091703056767,0
FBgn0004170,6,1437,4.175365344,0
FBgn0002561,8,1096,7.299270073,0
FBgn0011822,5,1309,3.8197097020626436,0
FBgn0000137,5,2429,2.058460271716756,0
FBgn0010019,3,2278,1.3169446883230904,3
FBgn0029523,5,2306,2.168256721595837,9
FBgn0029522,3,1550,1.9354838709677418,2
FBgn0052817,0,1939,0,5
FBgn0029526,2,1703,1.1743981209630063,25
FBgn0029524,14,2447,5.721291377196567,15
FBgn0029525,3,4336,0.6918819188191881,6
FBgn0023536,6,2339,2.5651988029072252,10
FBgn0023537,6,4069,1.4745637748832636,111
FBgn0023534,8,2458,3.2546786004882016,89
FBgn0004648,110,51465,2.137374915,173
FBgn0260400,72,17851,4.033387485294941,52
FBgn0023535,11,1238,8.885298869,2
FBgn0024983,33,8795,3.7521318931210916,8
FBgn0000108,56,34107,1.6418916937871992,164
FBgn0025633,59,30246,1.9506711631290088,12
FBgn0029529,0,498,0,64
FBgn0016038,22,7699,2.8575139628523187,34
FBgn0025640,1,1172,0.8532423208191127,16
FBgn0026879,0,385,0,94
FBgn0025635,12,6641,1.8069567836169251,10
FBgn0002579,10,2729,3.6643459142543056,1316
FBgn0001341,5,3676,1.3601741022850924,4
FBgn0020381,8,6564,1.218769043266301,7
FBgn0003575,35,14429,2.425670524637882,18
FBgn0025634,2,1548,1.2919896640826873,11
FBgn0025638,8,3062,2.612671456564337,58
FBgn0025639,22,11280,1.950354609929078,24
FBgn0025637,1,9525,0.10498687664041995,155
FBgn0021764,134,80407,1.6665215715049686,9
FBgn0029531,5,1683,2.9708853238265003,0
FBgn0040383,2,2593,0.7713073659853452,22
FBgn0029532,0,1563,0,0
FBgn0040382,0,6412,0,85
FBgn0015288,0,1097,0,477
FBgn0259993,0,745,0,94
FBgn0083027,0,151,0,4689
FBgn0086666,0,144,0,617
FBgn0027343,8,7797,1.0260356547390022,1
FBgn0086368,11,5491,2.0032780914223274,0
FBgn0025620,3,1600,1.875,17
FBgn0025621,2,7121,0.2808594298553574,12
FBgn0015799,3,3611,0.8307947936859595,12
FBgn0025616,2,1801,1.1104941699056081,0
FBgn0026874,0,1425,0,0
FBgn0029535,1,474,2.109704641350211,0
FBgn0040343,7,1485,4.713804713804714,0
FBgn0040892,1,514,1.9455252918287937,0
FBgn0040341,2,880,2.272727272727273,0
FBgn0029539,13,1275,10.19607843137255,0
FBgn0040344,45,8379,5.370569280343717,57
FBgn0040339,6,599,10.01669449081803,29
FBgn0040345,9,1300,6.9230769230769225,0
FBgn0040342,5,1544,3.238341968911917,0
FBgn0052815,25,6412,3.8989394884591393,38
FBgn0040340,15,9041,1.6591085056962724,16
FBgn0040346,10,1512,6.613756613756614,10
FBgn0040347,6,2154,2.785515320334262,3
FBgn0040348,4,2493,1.6044925792218212,33
FBgn0040349,2,838,2.3866348448687353,2
FBgn0040350,14,4597,3.045464433326082,0
FBgn0042146,3,666,4.504504504504505,0
FBgn0040338,1,460,2.1739130434782608,0
FBgn0029552,1,589,1.697792869269949,0
FBgn0003638,79,26761,2.952057098015769,40
FBgn0040351,12,2457,4.884004884004884,29
FBgn0052814,1,1661,0.6020469596628537,1
FBgn0040337,7,1410,4.964539007092199,12
FBgn0026143,8,2212,3.6166365280289328,6
FBgn0053082,9,3095,2.9079159935379644,4
FBgn0014903,3,1356,2.2123893805309733,2
FBgn0040398,2,1106,1.8083182640144664,37
FBgn0040397,26,18832,1.380628717077315,8
FBgn0040365,0,488,0,0
FBgn0040368,3,1636,1.8337408312958436,0
FBgn0085349,0,380,0,0
FBgn0040364,12,5146,2.331908278274388,4
FBgn0040363,4,2158,1.8535681186283597,0
